positionName,companyShortName,city,companySize,education,financeStage,industryField,salary,平均薪资,workYear
数据分析师,红布林,北京,150-500人,本科,B轮,"电商,消费生活",18k-25k,21.5,3-5年
数据分析师,博乐科技,北京,500-2000人,本科,不需要融资,移动互联网,13k-26k,19.5,1-3年
数据分析师,红布林,北京,150-500人,本科,B轮,"电商,消费生活",18k-25k,21.5,3-5年
数据分析师,医联,北京,500-2000人,本科,D轮及以上,"社交,医疗丨健康",15k-29k,22.0,3-5年
数据分析师,易鉴科技,北京,150-500人,本科,B轮,"电商,社交",18k-25k,21.5,5-10年
数据分析师,烁石科技,北京,150-500人,本科,A轮,"金融,数据服务",10k-20k,15.0,1-3年
数据分析师,汽车之家,北京,2000人以上,本科,上市公司,汽车丨出行,15k-30k,22.5,5-10年
数据分析专员,好租,北京,500-2000人,本科,C轮,"消费生活,企业服务",8k-10k,9.0,1-3年
02316O-数据分析专家（用户增长方向）,平安人寿,北京,2000人以上,本科,上市公司,金融,25k-50k,37.5,3-5年
高级数据分析师--3188,爱奇艺,北京,2000人以上,本科,上市公司,文娱丨内容,25k-45k,35.0,3-5年
数据分析师,知乎,北京,500-2000人,本科,D轮及以上,社交,15k-30k,22.5,1-3年
商业数据分析师,Games Vessel,北京,50-150人,本科,不需要融资,"游戏,软件开发",10k-20k,15.0,3-5年
数据分析(J10227),阿芙精油,北京,500-2000人,本科,C轮,电商,15k-25k,20.0,1-3年
数据分析师,数城未来,北京,15-50人,本科,未融资,数据服务,10k-18k,14.0,不限
金融数据分析师,中科聚信,北京,50-150人,本科,B轮,"数据服务,金融",8k-12k,10.0,不限
数据分析师-03,希为科技,北京,50-150人,本科,不需要融资,"企业服务,金融",14k-27k,20.5,1-3年
数据分析师-03,希为科技,北京,50-150人,本科,不需要融资,"企业服务,金融",14k-27k,20.5,1-3年
临床数据分析员,艾迪泰科,北京,150-500人,本科,不需要融资,其他,7k-12k,9.5,不限
数据分析师,动动,北京,50-150人,本科,B轮,"移动互联网,医疗丨健康",15k-30k,22.5,1-3年
数据分析师-用户增长方向,微聚未来,北京,500-2000人,本科,不需要融资,"移动互联网,金融",20k-40k,30.0,3-5年
数据分析师,金拍档装饰,北京,15-50人,本科,未融资,房产家居,40k-70k,55.0,3-5年
游戏数据分析师,龙拳风暴,北京,150-500人,本科,天使轮,游戏,12k-20k,16.0,不限
高级数据分析经理,金山云,北京,2000人以上,本科,D轮及以上,"移动互联网,数据服务",30k-45k,37.5,5-10年
数据分析,优捷信达,北京,50-150人,本科,B轮,"移动互联网,数据服务",3k-6k,4.5,应届毕业生
项目经理助理（数据分析方向）,币世界,北京,150-500人,本科,A轮,"移动互联网,金融",7k-10k,8.5,1-3年
数据分析师(J10800),伴鱼口语,北京,2000人以上,本科,C轮,移动互联网,18k-35k,26.5,3-5年
数据分析经理,达内集团,北京,2000人以上,本科,上市公司,"移动互联网,教育",15k-20k,17.5,3-5年
高级数据分析经理,狸米网校,北京,500-2000人,本科,B轮,"移动互联网,教育",25k-50k,37.5,5-10年
风险经理（数据建模）,民生易贷,北京,150-500人,本科,A轮,"移动互联网,金融",15k-25k,20.0,3-5年
高级数据分析师,高创保安,北京,50-150人,本科,B轮,人工智能,20k-35k,27.5,3-5年
数据分析师,当当网,北京,2000人以上,本科,上市公司,"移动互联网,电商",20k-40k,30.0,不限
资深数据分析师-产品技术中心 (MJ006569),搜狐集团,北京,2000人以上,本科,上市公司,"移动互联网,广告营销",10k-20k,15.0,不限
