时间,连续3小时累计发电量,开始时间,结束时间
2021-11-26,8713.0,10:00:00,12:00:00
2021-11-27,13914.0,09:00:00,11:00:00
2021-11-28,15091.0,09:00:00,11:00:00
2021-11-29,18387.0,09:00:00,11:00:00
2021-11-30,18444.0,09:00:00,11:00:00
2021-12-01,17792.0,09:00:00,11:00:00
2021-12-02,17081.0,10:00:00,12:00:00
2021-12-03,11617.0,09:00:00,11:00:00
2021-12-04,9521.0,09:00:00,11:00:00
2021-12-05,10317.0,10:00:00,12:00:00
2021-12-06,9874.0,09:00:00,11:00:00
2021-12-07,11745.0,09:00:00,11:00:00
2021-12-08,11834.0,10:00:00,12:00:00
2021-12-09,11023.0,09:00:00,11:00:00
2021-12-10,13101.0,10:00:00,12:00:00
2021-12-11,13020.0,10:00:00,12:00:00
2021-12-12,15531.0,10:00:00,12:00:00
2021-12-13,11247.0,09:00:00,11:00:00
2021-12-14,13132.0,10:00:00,12:00:00
2021-12-15,14092.0,10:00:00,12:00:00
2021-12-16,10777.0,10:00:00,12:00:00
2021-12-17,16113.0,10:00:00,12:00:00
2021-12-18,15681.0,10:00:00,12:00:00
2021-12-19,13695.0,10:00:00,12:00:00
2021-12-20,15163.0,10:00:00,12:00:00
2021-12-21,13148.0,10:00:00,12:00:00
2021-12-22,12978.0,10:00:00,12:00:00
2021-12-23,12428.0,10:00:00,12:00:00
2021-12-24,11641.0,09:00:00,11:00:00
2021-12-25,10571.0,10:00:00,12:00:00
2021-12-26,12574.0,10:00:00,12:00:00
2021-12-27,12497.0,10:00:00,12:00:00
2021-12-28,12825.0,10:00:00,12:00:00
2021-12-29,15003.0,10:00:00,12:00:00
2021-12-30,11323.0,10:00:00,12:00:00
2021-12-31,15039.0,09:00:00,11:00:00
